run_id,source_file,doc_type,total_rules,retry_count,duration_sec,prompt_tokens,completion_tokens,total_tokens
agentic_s42_run1,SOP_004_PersonnelZoneAccess.txt,matrix,21,0,122.22,11943,6904,18847
agentic_s42_run1,SOP_003_MaintenanceRules.txt,mixed,8,0,87.68,9087,3630,12717
agentic_s42_run1,SOP_004_PersonnelZoneAccess.txt,matrix,21,0,166.6,11637,8873,20510
agentic_s42_run1,SOP_001_OperatingProcedures.txt,mixed,26,0,0,297.01,21508,11391,32899
agentic_s42_run1,SOP_002_AlarmThresholds.txt,tabular,22,0,2,573.81,45743,22083,67826
agentic_s42_run1,SOP_003_MaintenanceRules.txt,mixed,11,0,0,112.1,11203,4351,15554
agentic_s42_run1,SOP_004_PersonnelZoneAccess.txt,matrix,21,42,2,438.51,29527,29853,59380
agentic_s42_run1,SOP_001_OperatingProcedures.txt,mixed,29,0,0,255.87,22072,14481,36553
agentic_s42_run1,SOP_002_AlarmThresholds.txt,tabular,18,0,1,561.18,45263,28631,73894
agentic_s42_run1,SOP_003_MaintenanceRules.txt,mixed,8,0,0,91.07,10915,4952,15867
agentic_s42_run1,SOP_004_PersonnelZoneAccess.txt,matrix,25,0,2,443.69,37227,27538,64765
agentic_s42_run1,SOP_001_OperatingProcedures.txt,mixed,26,0,1,375.79,33096,19545,52641
agentic_s42_run1,SOP_002_AlarmThresholds.txt,tabular,23,0,2,435.18,45926,21874,67800
agentic_s42_run1,SOP_003_MaintenanceRules.txt,mixed,11,0,1,148.29,19789,9450,29239
agentic_s42_run1,SOP_004_PersonnelZoneAccess.txt,matrix,20,0,2,322.51,32701,19543,52244
agentic_s42_run1,SOP_001_OperatingProcedures.txt,mixed,26,0,2,481.11,46802,27476,74278
agentic_s42_run1,SOP_002_AlarmThresholds.txt,tabular,21,0,1,284.44,32816,16185,49001
agentic_s42_run1,SOP_003_MaintenanceRules.txt,mixed,8,0,0,80.85,10017,3861,13878
agentic_s42_run1,SOP_004_PersonnelZoneAccess.txt,matrix,21,0,2,290.58,31145,18574,49719
agentic_s42_run1,SOP_001_OperatingProcedures.txt,mixed,34,0,0,258.72,21581,17488,39069
agentic_s42_run1,SOP_002_AlarmThresholds.txt,tabular,27,0,0,143.55,21568,13407,34975
agentic_s42_run1,SOP_003_MaintenanceRules.txt,mixed,11,0,0,66.15,11638,5939,17577
agentic_s42_run1,SOP_004_PersonnelZoneAccess.txt,matrix,20,0,0,93.7,12779,8074,20853
abl_noQGE_s42_run1,SOP_001_OperatingProcedures.txt,mixed,26,0,0,186.96,15562,12235,27797
abl_noQGE_s42_run1,SOP_002_AlarmThresholds.txt,tabular,29,0,0,185.51,16729,12979,29708
abl_noQGE_s42_run1,SOP_003_MaintenanceRules.txt,mixed,11,0,0,74.04,8986,5052,14038
abl_noQGE_s42_run1,SOP_004_PersonnelZoneAccess.txt,matrix,21,0,0,120.66,9670,6889,16559
abl_noV_s42_run1,SOP_001_OperatingProcedures.txt,mixed,31,0,0,154.55,16721,12151,28872
abl_noV_s42_run1,SOP_002_AlarmThresholds.txt,tabular,48,0,0,185.04,16664,11885,28549
abl_noV_s42_run1,SOP_003_MaintenanceRules.txt,mixed,11,0,0,63.79,8885,4628,13513
abl_noV_s42_run1,SOP_004_PersonnelZoneAccess.txt,matrix,15,0,0,54.07,8744,5038,13782
abl_noCM_s42_run1,SOP_001_OperatingProcedures.txt,mixed,31,0,0,199.68,20180,14981,35161
abl_noCM_s42_run1,SOP_002_AlarmThresholds.txt,tabular,27,0,0,223.44,20830,13612,34442
abl_noCM_s42_run1,SOP_003_MaintenanceRules.txt,mixed,12,0,0,68.19,11913,6588,18501
abl_noCM_s42_run1,SOP_004_PersonnelZoneAccess.txt,matrix,18,0,0,91.86,11833,6973,18806
